id,name,lat,long,nbDocks
315,"The Tennis Courts, The Regent's Park",51.52536703,-0.153463612,16
317,"Dickens Square, Borough",51.49679128,-0.093913472,32
318,"Sackville Street, Mayfair",51.51004801,-0.138846453,18
319,"Baldwin Street, St. Luke's",51.52702563,-0.088542771,21
320,"Queen Mother Sports Centre, Victoria",51.49357351,-0.139956043,26
321,"Bermondsey Street, Bermondsey",51.49785559,-0.081608045,24
322,"Palissy Street, Shoreditch",51.526293,-0.073955,26
323,"Clifton Street, Shoreditch",51.523196,-0.083067,24
324,"Ontario Street, Elephant & Castle",51.49652013,-0.101384068,15
325,"St. Martin's Street, West End",51.50908747,-0.129697889,18
326,"Graham Street, Angel",51.53266186,-0.099981142,25
327,"New North Road 1, Hoxton",51.53095,-0.085603,22
328,"New North Road 2, Hoxton",51.53114,-0.086016,22
329,"Prince Albert Road, The Regent's Park",51.53589283,-0.160854428,24
330,"Eastbourne Mews, Paddington",51.51641749,-0.179135079,34
331,"Bunhill Row, Moorgate",51.52085887,-0.089887855,30
332,"Nevern Place, Earl's Court",51.49334336,-0.194757949,20
333,"Palace Gardens Terrace, Notting Hill",51.50860544,-0.193764092,37
334,"Concert Hall Approach 1, South Bank",51.505044,-0.115851,10
335,"Tavistock Street, Covent Garden",51.51196803,-0.120718759,33
336,"Concert Hall Approach 2, South Bank",51.504942,-0.115533,18
337,"Pembridge Villas, Notting Hill",51.51108452,-0.197524944,16
338,"Wellington Street , Strand",51.51175646,-0.119643424,24
339,"Risinghill Street, Angel",51.5333196,-0.1117812,25
340,"Bank of England Museum, Bank",51.51444134,-0.087587447,16
341,"Craven Street, Strand",51.50810309,-0.12602103,23
343,"London Zoo Car Park, The Regent's Park",51.53692216,-0.150181444,36
344,"Goswell Road (City Uni), Finsbury",51.528246,-0.10102611,17
345,"Flood Street, Chelsea",51.48802358,-0.166878535,33
347,"Lower Marsh, Waterloo",51.50013942,-0.113936001,17
348,"Grosvenor Square, Mayfair",51.51217033,-0.150481272,17
349,"St. George Street, Mayfair",51.51196,-0.142783033,18
350,"Queen's Gate, Kensington Gardens",51.5017154374,-0.1798541844,21
351,"Macclesfield Rd, St Lukes",51.529423,-0.097122,28
352,"Vauxhall Street, Vauxhall",51.486965,-0.116625,19
353,"Greycoat Street , Westminster",51.49459148,-0.134234258,17
354,"Northumberland Avenue, Strand",51.506767,-0.123702,37
355,"Oval Way, Vauxhall",51.486575,-0.117286,21
356,"South Kensington Station, South Kensington",51.494412,-0.173881,15
357,"Howland Street, Fitzrovia",51.520994,-0.139016,30
358,"High Holborn , Covent Garden",51.516226,-0.124826,20
359,"Butler Place, Westminster",51.49782999,-0.135440826,18
360,"Howick Place, Westminster",51.49675303,-0.138733562,27
361,"Waterloo Station 2, Waterloo",51.50391973,-0.11342629,55
362,"Royal College Street, Camden Town",51.536264,-0.133952,57
363,"Lord's, St. John's Wood",51.5291212009,-0.1711852849,24
364,"Alfred Place, Bloomsbury",51.519656,-0.132339,41
365,"City Road, Angel",51.530344,-0.100168,47
366,"Millennium Hotel, Mayfair",51.5109192966,-0.1511263847,27
367,"Harrowby Street, Marylebone",51.5173721,-0.1642075,16
368,"Harriet Street, Knightsbridge",51.50024195,-0.15934065,25
370,"Paddington Green, Paddington",51.520205,-0.174593,20
371,"King Edward Walk, Waterloo",51.49775,-0.10988,22
372,"Sardinia Street, Holborn",51.515208,-0.117863,24
373,"Prince Consort Road, Knightsbridge",51.49980661,-0.176415994,18
374,"Waterloo Station 1, Waterloo",51.50402794,-0.11386436,36
375,"Kensington Town Hall, Kensington",51.50194596,-0.194392952,18
376,"Millbank Tower, Pimlico",51.49188409,-0.125674815,24
377,"Waterloo Bridge, South Bank",51.50535447,-0.113656543,15
378,"Natural History Museum, South Kensington",51.49559291,-0.179077626,42
379,"Turquoise Island, Notting Hill",51.51431171,-0.200838199,21
380,"Stanhope Gate, Mayfair",51.50686435,-0.150666888,21
381,"Charlotte Street, Fitzrovia",51.51953043,-0.13577731,14
382,"Farm Street, Mayfair",51.50935171,-0.14744969,15
383,"Frith Street, Soho",51.51310333,-0.13121385,18
384,"Marloes Road, Kensington",51.496481,-0.192404,15
