,dt_iso,temp,humidity,wind_speed,clouds_all
325,2016-06-03 08:00:00,282.25,81,3,75
327,2016-06-03 09:00:00,282.66,87,3,90
328,2016-06-03 10:00:00,283.12,81,5,75
329,2016-06-03 11:00:00,283.73,81,4,90
330,2016-06-03 12:00:00,284.14,81,4,75
331,2016-06-03 13:00:00,284.74,76,4,90
332,2016-06-03 14:00:00,285.29,76,3,75
333,2016-06-03 15:00:00,285.56,76,3,75
334,2016-06-03 16:00:00,286.09,76,4,75
335,2016-06-03 17:00:00,286.28,76,3,75
336,2016-06-03 18:00:00,286.23,76,3,75
337,2016-06-03 19:00:00,285.98,81,3,75
338,2016-06-03 20:00:00,285.75,87,2,75
339,2016-06-03 21:00:00,285.43,87,2,75
340,2016-06-03 22:00:00,285.27,93,1,75
341,2016-06-03 23:00:00,284.94,93,2,92
343,2016-06-04 00:00:00,284.82,93,1,20
345,2016-06-04 01:00:00,284.85,93,1,20
347,2016-06-04 02:00:00,284.81,93,1,20
350,2016-06-04 03:00:00,284.64,93,2,80
353,2016-06-04 04:00:00,284.72,93,2,80
356,2016-06-04 05:00:00,284.67,93,1,80
360,2016-06-04 06:00:00,284.74,93,1,92
364,2016-06-04 07:00:00,285.05,93,2,75
367,2016-06-04 08:00:00,285.41,93,2,75
371,2016-06-04 09:00:00,286.0,93,2,75
375,2016-06-04 10:00:00,286.59,93,2,75
379,2016-06-04 11:00:00,287.49,87,2,75
381,2016-06-04 12:00:00,288.51,87,2,75
383,2016-06-04 13:00:00,289.49,82,2,90
384,2016-06-04 14:00:00,290.57,72,2,44
385,2016-06-04 15:00:00,291.28,82,3,80
386,2016-06-04 16:00:00,291.83,82,3,80
387,2016-06-04 17:00:00,292.16,77,3,24
388,2016-06-04 18:00:00,291.96,77,3,44
389,2016-06-04 19:00:00,291.86,77,3,44
390,2016-06-04 20:00:00,291.82,77,3,44
391,2016-06-04 21:00:00,291.09,82,3,8
392,2016-06-04 22:00:00,290.08,82,1,8
394,2016-06-04 23:00:00,289.25,88,2,8
396,2016-06-05 00:00:00,288.11,87,2,0
399,2016-06-05 01:00:00,287.59,87,1,0
402,2016-06-05 02:00:00,286.5,93,1,0
405,2016-06-05 03:00:00,285.94,93,3,0
407,2016-06-05 04:00:00,285.45,87,2,0
410,2016-06-05 05:00:00,285.14,93,2,0
413,2016-06-05 06:00:00,284.75,93,2,0
415,2016-06-05 07:00:00,284.91,93,2,0
417,2016-06-05 08:00:00,285.59,87,2,0
420,2016-06-05 09:00:00,286.6,87,3,20
